symptoms,disease,icd10_code,severity,medication
cough;fever;body aches,Influenza B,J10.1,2,Oseltamivir
abdominal pain;fever;nausea,Appendicitis,K35.80,3,Appendectomy
weight gain;mood swings;insomnia,Cushing's Syndrome,E24.9,3,Ketoconazole
blurred vision;eye pain;halos around lights,Glaucoma,H40.9,2,Latanoprost
abdominal pain;weight loss;diarrhea,Crohn's Disease,K50.90,2,Prednisone
joint pain;fever;rash,Lupus,M32.9,3,Hydroxychloroquine
abdominal distension;constipation;vomiting,Small Bowel Obstruction,K56.60,3,Nasogastric decompression
right lower quadrant pain;fever;loss of appetite,Acute Diverticulitis,K57.32,2,Ciprofloxacin
abdominal pain;clay-colored stools;dark urine,Acute Hepatitis,B17.9,3,Supportive care
severe abdominal pain;nausea;fever,Acute Pancreatitis,K85.9,3,Hydromorphone
abdominal pain;bloody diarrhea;fever,Bacterial Dysentery,A03.9,2,Ciprofloxacin
abdominal pain;blood in stool;tenesmus,Colorectal Cancer,C18.9,3,Fluorouracil
lower abdominal pain;constipation;rectal bleeding,Diverticulosis,K57.92,2,Fiber supplements
upper abdominal pain;weight loss;jaundice,Pancreatic Cancer,C25.9,3,Gemcitabine
lower abdominal pain;pelvic mass;irregular periods,Ovarian Cancer,C56.9,3,Carboplatin
lower abdominal pain;testicular pain;scrotal swelling,Epididymitis,N45.1,2,Ceftriaxone
upper abdominal pain;bloating;early satiety,Gastric Cancer,C16.9,3,Oxaliplatin
lower abdominal pain;painful intercourse;infertility,Endometriosis,N80.9,2,Leuprolide
abdominal pain;nausea;fever,Mesenteric Adenitis,I88.0,1,Ibuprofen
upper abdominal pain;nausea;hematemesis,Mallory-Weiss Tear,K22.6,2,Pantoprazole
abdominal pain;diarrhea;flatulence,Lactose Intolerance,E73.9,1,Lactase enzyme supplements
upper back pain;stiffness;limited mobility,Thoracic Spondylosis,M47.14,2,Cyclobenzaprine
lower back pain;muscle spasms;tenderness,Lumbar Strain,S39.012A,1,Ibuprofen
mid-back pain;band-like tightness;numbness,Thoracic Myelopathy,G95.20,3,Prednisone
lower back pain;morning stiffness;reduced mobility,Ankylosing Spondylitis,M45.9,2,Sulfasalazine
upper back pain;shortness of breath;chest pain,Thoracic Aortic Aneurysm,I71.2,3,Metoprolol
back pain;fever;night sweats,Spinal Tuberculosis,A18.01,3,Isoniazid
lower back pain;sciatica;foot drop,Lumbar Spinal Stenosis,M48.06,2,Gabapentin
back pain;leg pain;weakness,Spinal Cord Tumor,D43.4,3,Dexamethasone
back pain;fever;chills,Epidural Abscess,G06.1,3,Vancomycin
back pain;chest pain;cough,Lung Cancer,C34.90,3,Cisplatin
lower back pain;leg pain;difficulty walking,Spinal Stenosis,M48.00,2,Tramadol
back pain;weight loss;fatigue,Multiple Myeloma,C90.00,3,Bortezomib
lower back pain;stiffness;reduced mobility,Lumbar Facet Syndrome,M53.86,2,Celecoxib
lower back pain;leg pain;foot numbness,Tarlov Cyst,G96.19,2,Gabapentin
upper back pain;rib pain;difficulty breathing,Intercostal Neuralgia,G58.0,2,Lidocaine patch
back pain;fever;weight loss,Spinal Osteomyelitis,M46.20,3,Ceftriaxone
lower back pain;hip pain;groin pain,Hip Osteoarthritis,M16.9,2,Acetaminophen
back pain;muscle spasms;anxiety,Conversion Disorder,F44.9,2,Sertraline
lower back pain;leg pain;foot weakness,Lumbosacral Plexopathy,G54.1,3,Pregabalin
back pain;stiffness;skin rash,Psoriatic Arthritis,L40.50,2,Methotrexate
lower back pain;abdominal pain;testicular pain,Renal Colic,N23,2,Ketorolac
back pain;muscle weakness;difficulty walking,Spinal Muscular Atrophy,G12.9,3,Nusinersen
upper back pain;arm pain;hand weakness,Thoracic Disc Herniation,M51.24,2,Gabapentin
lower back pain;leg pain;difficulty standing,Spondylolisthesis,M43.10,2,Naproxen
arm pain;weakness;numbness,Carpal Tunnel Syndrome,G56.00,2,Naproxen
arm swelling;redness;warmth,Deep Vein Thrombosis,I82.401,3,Rivaroxaban
arm pain;stiffness;reduced range of motion,Frozen Shoulder,M75.00,2,Prednisone
arm pain;swelling;bruising,Biceps Tendon Rupture,S46.02XA,2,Ibuprofen
arm pain;swelling;limited mobility,Tennis Elbow,M77.10,2,Diclofenac
arm pain;redness;swelling,Cellulitis,L03.11,2,Cephalexin
arm pain;numbness;cold sensitivity,Raynaud's Syndrome,I73.00,2,Nifedipine
arm pain;swelling;fever,Septic Arthritis,M00.9,3,Vancomycin
arm weakness;numbness;tingling,Cubital Tunnel Syndrome,G56.20,2,Naproxen
arm deformity;pain;swelling,Radial Head Fracture,S52.121A,2,Acetaminophen
arm pain;weakness;muscle atrophy,Rotator Cuff Tear,M75.100,2,Meloxicam
arm swelling;pain;redness,Axillary Vein Thrombosis,I82.B11,3,Enoxaparin
arm pain;tenderness;reduced mobility,Biceps Tendinitis,M75.20,2,Ibuprofen
arm pain;swelling;warmth,Gout,M10.9,2,Colchicine
arm pain;swelling;limited range of motion,Olecranon Bursitis,M70.20,2,Naproxen
arm pain;redness;swelling,Erysipelas,A46,2,Penicillin
arm weakness;numbness;tingling,Peripheral Neuropathy,G62.9,2,Duloxetine
arm tremor;weakness;incoordination,Essential Tremor,G25.0,2,Propranolol
arm pain;swelling;fever,Osteomyelitis,M86.9,3,Ceftriaxone
arm weakness;numbness;pain,Complex Regional Pain Syndrome,G90.59,3,Amitriptyline
arm swelling;pain;redness,Superficial Thrombophlebitis,I80.8,2,Ibuprofen
forearm pain;weakness;numbness,Radial Tunnel Syndrome,G56.30,2,Naproxen
forearm swelling;pain;redness,Cellulitis of Forearm,L03.113,2,Cephalexin
forearm pain;stiffness;reduced range of motion,Pronator Teres Syndrome,G56.1,2,Ibuprofen
forearm weakness;muscle wasting;fasciculations,Anterior Interosseous Syndrome,G56.81,2,Prednisone
forearm rash;itching;blisters,Contact Dermatitis of Forearm,L25.1,1,Hydrocortisone cream
forearm pain;swelling;bruising,Flexor Tendon Rupture,S56.019A,2,Acetaminophen
forearm tremor;stiffness;weakness,Focal Dystonia,G24.9,2,Baclofen
forearm pain;swelling;fever,Osteomyelitis of Radius,M86.931,3,Vancomycin
forearm deformity;pain;swelling,Ulna Fracture,S52.201A,2,Tramadol
forearm pain;weakness;muscle atrophy,Posterior Interosseous Syndrome,G56.31,2,Celecoxib
forearm pain;tenderness;reduced mobility,Extensor Tendinitis,M77.9,2,Ibuprofen
forearm rash;fever;lymph node swelling,Erysipeloid,A26.0,2,Penicillin
forearm pain;swelling;warmth,Gout of Forearm,M10.931,2,Colchicine
forearm pain;swelling;limited range of motion,Intersection Syndrome,M65.89,2,Naproxen
forearm pain;swelling;fever,Septic Arthritis of Wrist,M00.931,3,Ceftriaxone
forearm pain;stiffness;reduced mobility,De Quervain's Tenosynovitis,M65.4,2,Corticosteroid injection
hip pain;groin pain;limping,Hip Impingement Syndrome,M25.851,2,Naproxen
hip pain;swelling;warmth,Septic Arthritis of Hip,M00.051,3,Vancomycin
hip pain;difficulty walking;leg length discrepancy,Hip Dysplasia,Q65.89,2,Physical therapy
hip pain;groin pain;clicking,Labral Tear of Hip,S76.012A,2,Meloxicam
hip pain;weakness;difficulty climbing stairs,Gluteus Medius Tendinopathy,M76.5,2,Diclofenac
hip pain;swelling;redness,Bursitis of Hip,M70.70,1,Naproxen
hip pain;groin pain;night pain,Avascular Necrosis of Hip,M87.059,3,Alendronate
hip pain;weakness;muscle wasting,Hip Osteoporosis,M81.0,2,Calcium supplements
hip pain;swelling;fever,Juvenile Idiopathic Arthritis,M08.00,3,Methotrexate
hip pain;limping;leg shortening,Slipped Capital Femoral Epiphysis,M93.003,3,Surgical intervention
hip pain;groin pain;painful clicking,Snapping Hip Syndrome,M24.851,1,Physical therapy
hip pain;difficulty walking;muscle weakness,Hip Abductor Tear,S76.112A,2,Celecoxib
hip pain;swelling;warmth,Psoriatic Arthritis of Hip,L40.52,2,Etanercept
hip pain;groin pain;pain with hip rotation,Hip Impingement,M24.151,2,Intra-articular steroid injection
hip pain;difficulty walking;leg length discrepancy,Legg-Calve-Perthes Disease,M91.10,3,Non-weight bearing protocol
hip pain;swelling;fever,Transient Synovitis,M67.951,2,Ibuprofen
hip pain;stiffness;reduced mobility,Rheumatoid Arthritis of Hip,M06.051,3,Methotrexate
hip pain;groin pain;pain with hip flexion,Athletic Pubalgia,M76.892,2,Physical therapy
hip pain;weakness;difficulty standing from seated position,Gluteus Minimus Tear,S76.122A,2,Naproxen
hip pain;swelling;warmth,Gout of Hip,M10.051,2,Colchicine
hip pain;limping;groin pain,Stress Fracture of Femoral Neck,S72.099A,3,Non-weight bearing protocol
hip pain;numbness;weakness,Lumbar Radiculopathy,M54.16,2,Pregabalin
hip pain;swelling;redness,Iliopsoas Bursitis,M70.50,2,Indomethacin
hip pain;swelling;fever,Lyme Arthritis,A69.23,2,Doxycycline
hip pain;stiffness;lower back pain,Diffuse Idiopathic Skeletal Hyperostosis,M48.10,2,Acetaminophen
hip pain;difficulty walking;muscle weakness,Hip Flexor Strain,S76.011A,1,Rest and ice
hip pain;swelling;warmth,Reactive Arthritis,M02.30,2,Sulfasalazine
hip pain;groin pain;pain with weight-bearing,Stress Reaction of Femoral Neck,M84.459A,2,Rest and physical therapy
hip pain;swelling;redness,Trochanteric Bursitis,M70.60,1,Corticosteroid injection
hip pain;stiffness;reduced range of motion,Hip Ankylosis,M24.651,3,Surgical intervention
